"","BLOCK","Fertilizer","Mowing","Ditch","treatment","QUADRAT..","DATA.TYPE","Year","Agalinus.purpurea","Aster.novi.belgii","Bidens.bipinnata","Chamaecrista.fasciculata","Clematis.dioscoreifolia","Desmodium.sp.","Drosera.sp.","Erechtites.graminifolia","Eupatorium.capillifolium","Eupatorium.pilosum","Eupatorium.recurvans","Eupatorium.rotundifolium","Eupatorium.semiserratum","Euthamia.caroliniana","Galium.sp.","Gelsemium.sempervirens","Gnaphalium.purpureum","Gratiola.pilosa","Hypericum.sp.","Lespedeza.capitata","Lespedeza.hirta","Lobelia.nuttallii","Ludwigia.alternifolia","Ludwigia.hirtella","Lycopodium","Melothria.pendula","Osmunda.cinnamomea","Osmunda.regalis","Packera.tomentosa","Polygala.cruciata","Polygala.lutea","Polygonum.sp.","Pteridium.aquilinum","Pycnanthemum.flexuosum","Rhexia.mariana","Rhexia.virginica","Rhus.radicans","Rubus.hispidus","Scutellaria.integrifolia","Smilax.glauca","Smilax.rotundifolia","Solanum.carolinense","Solidago.pinetorum","Solidago.puberula","Solidago.rugosa","Solidago.stricta","Sphagnum.sp","Viola.primulifolia","Acer.rubrum","Amelanchier.canadensis","Aronia.arbutus","Callicarpa.americana","Clethra.alnifolia","Crataegus.sp.","Cyrilla.racemiflora","Ilex.glabra","Ilex.opaca","Itea.virginica","Liquidambar.styraciflua","Magnolia.virginica","Nyssa.sylvatica","Pinus.taeda","Prunus.serotina","Rhus.copallinum","Rubus.argutus","Symplocos.tinctoria","Vaccinium.sp.","Viburnum.nudum","Amphicarpum.purshii","Andropogon.virginica","Aristida.virgata","Arundinaria.tecta","Calamagrostis.coarctata","Chasmanthium.laxum","Dichanthelium.lucidum","Dichanthelium.scabriusculum","Dichanthelium.scoparium","Juncus.biflorus","Juncus.canadensis","Juncus.dichotomus","Juncus.effusus","Carex.glaucescens","Rhynchospora.chalarocephala","Rhynchospora.inexpansa","Saccharum.giganteum","Scirpus.cyperinus","Scleria.minor","Xyris.sp"
"11",4,0,0,0,"C",20,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0.0191003363742742,0,0.2006470711228,0,0,0,0,0.00808105262771768,0,0,0.0135906945009959,0,0,0,0,0,0,0.0204318942970438,0.00808105262771768,0,0,0,0.0161621052554354,0,0,0,0.358599920033161,0,0.178149978174188,0,0,0.0135906945009959,0,0.0367774097346788,0,0,0.00808105262771768,0,0,0.0492199564951048,0,0,0,0,0,0,0,0,0,0.123053559441406,0,0,0,0,0,0,0,0.0326910308752701,0.111572082035706,0.0642339140099702,0.109965408839637,0,0.132554206879349,0.380631151118985,0,0.0341142938891396,0,0,0,0,0,0.0560611562911527,0.0246099782475524,0,0,0,0
"12",4,0,0,0,"C",21,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.00924707383701222,0.0126717313712588,0,0.222184004306993,0,0,0,0.00924707383701222,0.0190075970568882,0,0,0,0,0,0,0,0,0,0.0273125162010728,0,0.0160963889055054,0,0,0.0297102749695918,0,0,0,0.00582241630276565,0,0.135450938166736,0,0,0,0,0,0.080397200454627,0,0.0160963889055054,0.00924707383701222,0,0.110620924807083,0,0,0,0,0,0,0,0,0,0.150954118561943,0,0,0,0.00924707383701222,0,0,0,0,0.0843353073717373,0.170380451037866,0,0,0,0.791130785029212,0,0,0,0,0,0,0,0.0678949572291679,0.0229457039739985,0,0,0,0
"13",5,0,0,1,"C",25,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159816266730023,0,0,0,0,0.125326680921834,0,0,0,0,0,0,0,0,0,0.0116338005860458,0,0,0,0,0,0,0,0,0.0280272432089966,0,0.131789023521026,0,0,0,0,0,0,0,0,0,0,0.0399540666825057,0,0,0,0,0,0,0,0,0,0,0,0,0.0239724400095034,0.110754731923656,0,0,0,0,0.105290251049339,0,0,0,0,0.75560307278055,0,0.651667062643542,0,0,0,0,0,0,0,0,0,0,0
"14",5,0,0,1,"C",26,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580179513278431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013656272169273,0,0,0.0697310385244132,0,0.101546836926683,0,0,0,0.00870577711976805,0,0,0,0.0781823509453749,0,0,0.013656272169273,0,0.0161315196940255,0,0,0,0,0,0,0,0,0,0,0.0142962894420283,0.331929921964159,0,0,0,0,0.103659665031924,0,0.196693501125814,0,0,0.201643996175318,0,0.792148607384103,0,0,0,0,0,0,0,0,0,0,0
"15",5,0,0,1,"C",27,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112340789064927,0,0,0,0,0.0440742466604536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1806073314694,0,0,0.0536657347002175,0,0.243864554209382,0,0,0,0,0,0,0,0.0328129853991923,0,0.227516309412861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881484933209071,0.0709071140105623,0,0,0,0,0.194237340789065,0,0,0,0.0459381795588692,0.374145697421559,0,0.331741223982603,0,0,0,0,0,0,0,0,0,0,0
"16",6,0,0,0,"C",31,"p cover",2004,0,0.0115658617532616,0,0,0.0114585717555505,0,0,0,0,0,0,0.0114585717555505,0,0.0850809681849393,0,0,0,0,0.00962033646143282,0,0,0.0655184252689403,0,0,0,0,0,0,0.0265936140993362,0.0151350423437858,0.0114585717555505,0,0,0,0.0468142023346304,0,0,0.0310211146715496,0,0.165062085145342,0.0212934882124056,0,0,0,0,0,0,0.0337319752803845,0.0324301899748226,0,0.138268196383612,0,0.0346975852597848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564345387960632,0.0280026894026093,0.0738369764248112,0,0,0.406257152666514,0,0,0,0,0,0,0,0.438730258640421,0.224879835202564,0,0,0.0206497482261387,0
"17",6,0,0,0,"C",32,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193183450256864,0,0,0,0,0.11069436005082,0,0,0.0234546760205491,0,0,0,0,0,0,0,0.0141523504391537,0.0377064574932332,0,0,0,0.0306302822736563,0,0,0,0,0.0918411313042037,0,0,0,0,0,0,0,0,0,0,0.03290614815224,0,0,0,0,0,0,0,0,0,0.104314202065956,0,0,0,0,0,0,0,0,0.0845660940175662,0.180163508810694,0.0307297133071867,0,0.0118267690438049,0.394674915759819,0.0614594266143733,0,0,0,0,0,0,0.273733635309065,0.31213611003701,0,0,0,0.0118267690438049
"18",6,0,0,0,"C",33,"p cover",2004,0,0.0103606108568251,0,0,0,0,0,0,0,0,0,0.0124224665269282,0.0103606108568251,0.0807460324250332,0,0,0,0.0124224665269282,0.0537750780681867,0,0,0.0268554562176498,0,0,0,0,0,0,0,0.0103606108568251,0,0,0,0,0.0165461778671344,0,0,0,0,0.0579244556615477,0,0,0,0,0.0144843221970313,0.0372160670744749,0,0.0124224665269282,0,0.161479231723489,0.0475766779313,0,0,0,0.113979552551653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163374256748086,0.208812080249818,0.171788510074004,0.0103606108568251,0.0103606108568251,0.473384095478462,0,0,0,0,0,0,0,0.204508705137528,0.0784788467296916,0,0,0,0
"19",7,0,0,1,"C",37,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106478877464546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578929211570335,0.130559992800414,0,0,0,0.0925371791122011,0,0,0.0190151566284939,0,0,0.0367628861340473,0,0.0338043062523905,0,0,0,0,0,0,0,0,0,0,0.24546838556783,0.11576709339213,0,0,0,0,0.0257797676633594,0,0.00929571549635896,0,0.365993955347568,0.285246098349345,0,0.475397664634284,0,0,0,0,0,0,0,0,0,0,0
"20",7,0,0,1,"C",38,"p cover",2004,0,0,0,0,0.0224398155432638,0,0,0,0.0108568039602522,0,0,0.0139916001984968,0,0.120610982679948,0,0,0,0,0.0159221021289987,0,0,0,0,0,0,0,0,0,0.047766306386996,0,0,0,0,0,0,0,0.0127873058907542,0,0,0.220270875443289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134390772321807,0.035227121434018,0,0,0,0,0.532758015516636,0.432039069970104,0,0.400939228525435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",7,0,0,1,"C",39,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0.0112538670370604,0,0.160521497569291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971967927268136,0,0,0.235573584190921,0,0,0,0,0.012737546562283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171885851379506,0.1357724603826,0.094481974872151,0,0,0,0,0,0,0.0275743418145085,0,0.197787107771955,0.360013258412779,0,0.649898983521687,0,0,0,0,0,0,0,0,0,0,0
"22",8,0,0,0,"C",43,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.00967312679131978,0,0,0.0974819162003548,0,0,0,0,0,0,0,0.011993312406169,0,0,0,0,0,0,0,0.011993312406169,0,0,0,0,0.0189538692507165,0,0,0.0920013306946909,0,0.099230585505664,0,0,0,0,0.0235942404804149,0.0780460966289068,0,0.011993312406169,0,0,0,0,0.187645011600928,0,0,0,0,0,0,0,0,0,0,0.030857615668077,0.0442967790364406,0,0,0,0,0.176491913470725,0.049508666575679,0.0179899686092534,0,0.011993312406169,0.408702402074519,0,0.466707042445749,0,0,0,0,0,0.0189538692507165,0.13189231609117,0,0,0,0
"23",8,0,0,0,"C",44,"p cover",2004,0,0.00490904183920837,0,0,0,0,0,0,0,0,0,0.00490904183920837,0,0.0716667796138633,0,0,0,0,0.0115788710273796,0,0,0.00756508433588832,0,0,0,0,0,0,0,0.00756508433588832,0,0,0,0.00580429698692547,0.0227249759541363,0,0,0.0853928362943333,0,0,0.0436297186663671,0,0,0,0.00490904183920837,0.0351693791827616,0,0,0,0,0.00889310558422829,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00490904183920837,0,0,0,0,0.0378254216794416,0.0350802103433476,0,0,0.0289323160952133,0.256466227004842,0,0.0814551403458086,0,0,0,0,0,0.63181353963436,0.608800845558381,0,0,0,0
"24",8,0,0,0,"C",45,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.00681170032372437,0.0200376714968398,0,0.186326980884847,0,0,0,0.088161900724526,0.0344631570833976,0.0148277323878526,0,0,0,0.0108197163557885,0,0,0,0,0.0108197163557885,0,0,0,0,0,0,0,0,0.0444735625096347,0,0.0488886426699553,0,0,0,0,0,0.506912864189918,0,0.0284535416987822,0,0,0.00681170032372437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460825497148142,0.0400777516571605,0,0,0,0.434773392939726,0.0100176314166795,0.0753381763527054,0,0,0,0,0,0,0.225602647602898,0,0.160298963311238,0,0
"25",1,1,0,1,"F",4,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100506951719729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172505637729282,0,0.124220927961362,0.0863726761013548,0,0,0,0.0823685565637374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533142745529769,0.0624234245432107,0.402804659339098,0,0,0,0,0,0,0,0.0615622281016389,0.401246515261821,0,0.452674148125788,0,0,0,0,0,0,0,0,0,0,0
"26",1,1,0,1,"F",5,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0.0120994621446639,0,0.00920928873425928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463537243514232,0,0.103384196732689,0,0,0,0,0.00920928873425928,0,0,0,0,0.0120994621446639,0.0765279566063063,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184185774685186,0.00920928873425928,0,0,0,0.0120994621446639,0,0.145157019057794,0,0.0339104548484599,0.34314531225744,0,0.751992986877791,0,0,0,0,0,0,0,0,0,0,0
"27",1,1,0,1,"F",6,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0.00696403489099515,0,0.286702824565338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696403489099515,0,0,0,0,0,0,0,0,0.471957956114777,0,0.201880289420569,0.00696403489099515,0,0,0,0,0,0,0,0,0,0.00696403489099515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0274931835082211,0.0157103905761263,0,0,0.0826005358765831,0.630504833512352,0,0.255293846862053,0,0,0,0,0,0,0,0,0,0,0
"28",2,1,0,0,"F",10,"p cover",2004,0,0,0,0,0,0,0,0.00964135068181311,0,0,0,0,0,0.365467449282478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163925279532216,0,0,0.142633963443212,0,0.142745553150177,0,0,0,0,0,0.0173633584038208,0,0,0,0,0.00964135068181311,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055409868993684,0,0,0,0,0.00964135068181311,0,0.13111790568438,0,0.137958354721361,0.708873613497891,0,0.253113352824336,0,0,0,0,0,0,0,0,0,0,0
"29",2,1,0,0,"F",11,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284322737863234,0,0,0,0,0.021487332568953,0,0,0.00733069700120005,0,0,0,0,0,0,0.0107436662844765,0,0.00733069700120005,0,0,0,0.014156635567753,0,0,0.361049362700692,0,0.109960455018001,0.0166202578613619,0,0,0,0,0,0,0,0,0,0.106992074289745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00831012893068096,0,0,0,0,0.189053761787447,0.066925620000468,0.0302721349944677,0,0.120583781543224,0.588234114316086,0,0.0424699067032589,0,0,0,0,0,0.014156635567753,0,0,0,0,0
"30",2,1,0,0,"F",12,"p cover",2004,0,0.0111806815300291,0,0,0,0,0,0,0,0.03695944759787,0,0.0111806815300291,0,0.752628396434353,0,0,0,0,0,0,0,0.00828213080539138,0,0,0,0,0,0,0,0,0,0,0.0991788089804358,0,0.056316929018667,0,0,0.0625314529814501,0,0,0.0335420445900872,0,0,0,0.0539372305771744,0.00962802582557981,0,0,0,0,0.065738194159986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120603897243841,0.0410985624280726,0.0636666861723916,0,0.0617005090994207,0.373000175551524,0.00828213080539138,0.0541439912614352,0,0,0,0,0,0.0111806815300291,0.0652193418768409,0,0,0,0
"31",3,1,0,1,"F",16,"p cover",2004,0,0,0,0,0,0,0,0,0,0.00850699446205064,0,0.0141249719901405,0,0.038221453951791,0,0,0,0,0,0.0438394314798809,0,0,0,0,0,0,0,0,0.00850699446205064,0,0,0,0,0,0.0311389609142418,0,0,0.291422580748423,0,0.0508418963475143,0.015549473414642,0,0,0,0.00850699446205064,0.031058932744326,0,0,0,0,0.0324434200838695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931367841480201,0,0.0113159832260956,0,0.0747383078843753,0.840976023560293,0,0.397163801658184,0,0.00850699446205064,0,0,0,0,0,0,0,0,0
"32",3,1,0,1,"F",17,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191642695235869,0,0,0,0,0,0.00914302558420833,0,0,0,0,0,0,0,0,0.0205934072635976,0,0,0,0,0.162617781888779,0,0,0,0.494887224159136,0,0.110072066760858,0.0167766133704679,0,0,0,0.0205934072635976,0,0,0.0244102011567274,0,0,0.0167766133704679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143975970970004,0.775551173498948,0,0.0129598194773381,0,0,0,0,0,0,0,0,0,0,0
"33",3,1,0,1,"F",18,"p cover",2004,0.00851258616445101,0,0,0,0,0,0,0,0,0,0,0,0,0.0225835487444609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151980243722304,0,0,0,0.0768863860167405,0,0.0885839795667159,0.0600150787789266,0,0,0,0.0125938577055638,0,0,0,0,0,0.0963964795667159,0,0,0,0.0199793820777942,0,0,0,0,0,0,0,0,0.0299690731166913,0.0563607828655835,0,0,0,0,0,0.0166751292466765,0.00851258616445101,0,0.0679814438700148,1.17417528311177,0,0.221865768094535,0,0,0,0,0,0.00851258616445101,0.0151980243722304,0,0,0,0
"34",4,1,0,0,"F",22,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.0627476364206975,0.0148954532972422,0.016033109725001,0.16929112235691,0,0,0,0.0710996037817269,0.00799890157310423,0,0,0,0,0,0,0,0,0,0.0217920050213801,0,0,0,0,0.0388921580165549,0.00799890157310423,0.00799890157310423,0,0,0,0.211878702287082,0,0,0,0,0,0.0458946294770703,0,0.0148954532972422,0,0,0,0,0,0,0,0,0,0,0,0,0.0489545329724216,0,0,0,0,0,0,0,0,0.524734219920756,0.0183437291593111,0.0538229178925895,0,0.00799890157310423,0.532011298105214,0,0,0,0,0,0,0,0.076858499078106,0.0458593228982778,0,0,0,0
"35",4,1,0,0,"F",23,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.00986484445786771,0.022327091513138,0.1053911205074,0.143208245243129,0,0,0,0.0398897614013893,0,0,0,0.0136061612805799,0,0,0,0,0,0,0.0680308064028994,0.00841135608577469,0,0,0,0,0.0110087586831773,0.00841135608577469,0,0,0,0.0443446088794926,0.0483954998489882,0,0,0,0.0379115070975536,0,0,0.0197296889157354,0,0,0.0243053458169737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81581848384174,0.0358388704318937,0,0,0.0110087586831773,0.355187254605859,0,0.00986484445786771,0.0280466626396859,0,0,0,0,0.0711529749320447,0.0682459981878586,0,0,0,0
"36",4,1,0,0,"F",24,"p cover",2004,0,0,0,0.0143291139240506,0,0,0,0,0,0,0.0349873417721519,0.0183291139240506,0.0516455696202532,0,0,0,0,0.0103291139240506,0,0,0,0.0343291139240506,0,0,0,0,0,0,0.168696202531646,0,0,0,0,0.079379746835443,0,0.0103291139240506,0,0,0,0.095379746835443,0.0992911392405063,0,0,0,0.0103291139240506,0.0319113924050633,0,0,0,0,0.0143291139240506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330050632911392,0,0.0835569620253165,0,0,0.767746835443038,0,0.0286582278481013,0.0853164556962025,0,0,0,0,0,0.0310759493670886,0,0,0,0
"37",5,1,0,1,"F",28,"p cover",2004,0,0,0,0,0,0,0,0,0,0,0.0112387887958891,0,0,0.420311785753692,0,0,0,0,0,0,0,0.0234824482590123,0,0,0,0,0,0,0.074285556658943,0,0,0,0,0,0.0112387887958891,0.00854337100613168,0,0.0592558440125471,0,0.076204662599896,0,0,0,0,0.0500267965511262,0.0359546665405652,0,0,0,0,0.0796763922384578,0,0,0,0,0,0,0,0.0292397660818713,0.0246252423511609,0,0,0,0.0465550669125644,0.0100053593102252,0,0,0,0,0.0804527040872622,0.0247158777446762,0,0.0139342065856465,0.118188553143866,0.730154789489447,0.00854337100613168,0.0166296243754039,0,0,0,0,0,0.0166296243754039,0.030106713324191,0,0,0,0
