"","BLOCK","Fertilizer","Mowing","Ditch","treatment","QUADRAT..","DATA.TYPE","Year","alpha","H","D1","J"
"88",8,1,0,0,"F",46,"p cover",2004,16,2.36393169533396,0.878676573872158,0.852608133464634
"89",8,1,0,0,"F",47,"p cover",2004,22,2.57018629303518,0.899640268984691,0.831494983267782
"90",8,1,0,0,"F",48,"p cover",2004,14,2.37494086682395,0.886193255626942,0.899920149582422
"91",8,0,1,0,"M",91,"p cover",2004,24,2.71824185158746,0.913363829543191,0.855316491379209
"92",8,0,1,0,"M",92,"p cover",2004,24,2.58460619717416,0.890860461831905,0.813266966246192
"93",8,0,1,0,"M",93,"p cover",2004,24,2.51560071502281,0.881072828698216,0.791553840592875
"94",8,1,1,0,"MF",94,"p cover",2004,20,2.5928682134503,0.900994425237684,0.86552067297197
"95",8,1,1,0,"MF",95,"p cover",2004,19,2.36398272659299,0.85852861983247,0.802863548309031
"96",8,1,1,0,"MF",96,"p cover",2004,21,2.74635687519094,0.91979931729223,0.902064915390987
"97",1,0,0,1,"C",1,"p cover",2005,15,2.1366094850137,0.851239803608456,0.788984445023979
"98",1,0,0,1,"C",2,"p cover",2005,16,2.35342591212042,0.883740874079156,0.848818973128928
"99",1,0,0,1,"C",3,"p cover",2005,17,2.28365127042684,0.858551056884426,0.806028700668695
"100",1,1,0,1,"F",4,"p cover",2005,17,2.24874066986586,0.824122005172289,0.793706790412902
"101",1,1,0,1,"F",5,"p cover",2005,11,2.01596264983195,0.838695935942018,0.840721724881379
"102",1,1,0,1,"F",6,"p cover",2005,10,1.82576810070616,0.781424762798954,0.792921011371665
"103",1,0,1,1,"M",49,"p cover",2005,15,1.95902092932005,0.800661830586432,0.723406430398779
"104",1,0,1,1,"M",50,"p cover",2005,18,2.33012390004573,0.868312031934536,0.806167543562555
"105",1,0,1,1,"M",51,"p cover",2005,19,1.92958564857277,0.767848202811608,0.655332191370129
"106",1,1,1,1,"MF",52,"p cover",2005,8,1.64230930636704,0.746174786949114,0.789783830633843
"107",1,1,1,1,"MF",53,"p cover",2005,14,2.26212325276629,0.872428470974277,0.857170940313026
"108",1,1,1,1,"MF",54,"p cover",2005,11,1.50369354273169,0.671736341424076,0.627088914094595
"109",2,0,0,0,"C",7,"p cover",2005,20,2.22898736946768,0.803858694280597,0.744054263174631
"110",2,0,0,0,"C",8,"p cover",2005,20,2.45148840058276,0.87745098774804,0.818326932024014
"111",2,0,0,0,"C",9,"p cover",2005,15,2.22198005574905,0.842463702954436,0.82050918215795
"112",2,1,0,0,"F",10,"p cover",2005,15,2.35377557455581,0.885099605011659,0.86917723076101
"113",2,1,0,0,"F",11,"p cover",2005,13,1.97081225626907,0.812194110601735,0.768363028508108
"114",2,1,0,0,"F",12,"p cover",2005,19,2.36330789810327,0.868363215919466,0.802634360849384
"115",2,0,1,0,"M",55,"p cover",2005,19,2.41218244017039,0.872277909864069,0.819233292738594
"116",2,0,1,0,"M",56,"p cover",2005,22,2.49408211309498,0.875181310994397,0.806874105007921
"117",2,0,1,0,"M",57,"p cover",2005,19,2.36856784122358,0.87777462207579,0.804420759941886
"118",2,1,1,0,"MF",58,"p cover",2005,16,1.86171666836462,0.778202751439047,0.67147235124749
"119",2,1,1,0,"MF",59,"p cover",2005,16,2.39871769800916,0.880938000556149,0.865154531852601
"120",2,1,1,0,"MF",60,"p cover",2005,17,2.23750062026494,0.865377123580905,0.789739546073711
"121",3,0,0,1,"C",13,"p cover",2005,14,2.16458726530236,0.851414083479488,0.820212293613921
"122",3,0,0,1,"C",14,"p cover",2005,21,2.56109561171551,0.902001623089323,0.841214234450049
"123",3,0,0,1,"C",15,"p cover",2005,12,1.94879401292461,0.817533146706244,0.78425240364296
"124",3,1,0,1,"F",16,"p cover",2005,12,2.10498184764492,0.853303181642794,0.847107012178711
"125",3,1,0,1,"F",17,"p cover",2005,11,2.0039536705496,0.839092045245884,0.835713591532698
"126",3,1,0,1,"F",18,"p cover",2005,16,2.34003957503687,0.881074799212373,0.843990872597402
"127",3,0,1,1,"M",61,"p cover",2005,14,2.11159165394151,0.844998260679621,0.800131027941462
"128",3,0,1,1,"M",62,"p cover",2005,15,2.01748328831088,0.819949188425471,0.744994789051453
"129",3,0,1,1,"M",63,"p cover",2005,16,2.27117881927731,0.873497191819095,0.819154604885858
"130",3,1,1,1,"MF",64,"p cover",2005,12,1.9745124432778,0.829666465416281,0.794602261395313
"131",3,1,1,1,"MF",65,"p cover",2005,19,2.39016952421497,0.863703969602683,0.811757194197863
"132",3,1,1,1,"MF",66,"p cover",2005,15,2.19454835462289,0.855114719220773,0.810379495080883
"133",4,0,0,0,"C",19,"p cover",2005,15,2.16389573648443,0.830737758240319,0.799060421997975
"134",4,0,0,0,"C",20,"p cover",2005,12,2.05138820491375,0.841554970476571,0.825539343737024
"135",4,0,0,0,"C",21,"p cover",2005,16,2.25617596106258,0.846358240425607,0.81374346759947
"136",4,1,0,0,"F",22,"p cover",2005,13,1.94643127109775,0.810964222099954,0.758857583458912
"137",4,1,0,0,"F",23,"p cover",2005,17,2.27017850257854,0.85353187485718,0.80127340475123
"138",4,1,0,0,"F",24,"p cover",2005,14,1.96457771130593,0.785569209443114,0.744424037045205
"139",4,0,1,0,"M",67,"p cover",2005,23,2.40819095614698,0.868895465406628,0.768041906731235
"140",4,0,1,0,"M",68,"p cover",2005,23,2.49417406992033,0.866953689742469,0.79546441426977
"141",4,0,1,0,"M",69,"p cover",2005,22,2.56105404881382,0.900862412917685,0.828540561140247
"142",4,1,1,0,"MF",70,"p cover",2005,25,2.60079837165936,0.885706699835706,0.807983443028857
"143",4,1,1,0,"MF",71,"p cover",2005,15,2.17044276142698,0.834884569226547,0.801478037793974
"144",4,1,1,0,"MF",72,"p cover",2005,17,1.89343262112384,0.738532715890575,0.668298638750967
"145",5,0,0,1,"C",25,"p cover",2005,14,1.55288831952149,0.673606817192611,0.588425382842243
"146",5,0,0,1,"C",26,"p cover",2005,11,1.8735326180575,0.806458425592396,0.781323788119847
"147",5,0,0,1,"C",27,"p cover",2005,16,1.94813639447674,0.800720034342202,0.702641678821726
"148",5,1,0,1,"F",28,"p cover",2005,14,2.10795850075489,0.837792496125351,0.798754341976422
"149",5,1,0,1,"F",29,"p cover",2005,14,2.31240693988423,0.881470332836249,0.876224595022856
"150",5,1,0,1,"F",30,"p cover",2005,20,2.28070509902969,0.853258263098228,0.761318065423775
"151",5,0,1,1,"M",73,"p cover",2005,17,2.23157106394934,0.851460973942889,0.787646672860318
"152",5,0,1,1,"M",74,"p cover",2005,13,1.51588677030834,0.696433191099796,0.591000662800052
"153",5,0,1,1,"M",75,"p cover",2005,16,2.15387025367784,0.832939501127254,0.776844483424817
"154",5,1,1,1,"MF",76,"p cover",2005,17,2.27714604729141,0.83919094246547,0.803732642325937
"155",5,1,1,1,"MF",77,"p cover",2005,12,2.07793382495014,0.822175196219068,0.836222087106337
"156",5,1,1,1,"MF",78,"p cover",2005,15,2.36287945660834,0.883780731667494,0.872539015579037
"157",6,0,0,0,"C",31,"p cover",2005,21,2.55202702537548,0.899494675442694,0.83823557801853
"158",6,0,0,0,"C",32,"p cover",2005,19,2.52860348800574,0.900469733186487,0.858772589921892
"159",6,0,0,0,"C",33,"p cover",2005,19,2.42678624654879,0.889197453939578,0.824193085242949
"160",6,1,0,0,"F",34,"p cover",2005,18,2.11712526148818,0.790136667630599,0.732475072005681
"161",6,1,0,0,"F",35,"p cover",2005,20,2.16603714302213,0.803478150069872,0.723040961351478
"162",6,1,0,0,"F",36,"p cover",2005,17,2.1445406345077,0.8168222119946,0.756928749826313
"163",6,0,1,0,"M",79,"p cover",2005,19,2.01221207373101,0.805733720203212,0.683394048227366
"164",6,0,1,0,"M",80,"p cover",2005,18,2.14545431870273,0.845516632518213,0.742276253164179
"165",6,0,1,0,"M",81,"p cover",2005,23,2.37102911280948,0.860345928578418,0.756189917609804
"166",6,1,1,0,"MF",82,"p cover",2005,19,1.983285464527,0.739937104916235,0.67356989856467
"167",6,1,1,0,"MF",83,"p cover",2005,20,2.54574813567092,0.894683543805044,0.849791604591812
"168",6,1,1,0,"MF",84,"p cover",2005,20,2.10584487784392,0.787220845776626,0.702948289616565
"169",7,0,0,1,"C",37,"p cover",2005,15,2.37854154568664,0.889018615417217,0.878322545393933
"170",7,0,0,1,"C",38,"p cover",2005,10,1.93065688637897,0.821127917889125,0.838473632202899
"171",7,0,0,1,"C",39,"p cover",2005,11,1.84364190685989,0.803217759328484,0.768858393347739
"172",7,1,0,1,"F",40,"p cover",2005,13,2.039945152584,0.823707289278777,0.795315956882238
"173",7,1,0,1,"F",41,"p cover",2005,10,1.9923007328202,0.840624954051235,0.865245214555619
"174",7,1,0,1,"F",42,"p cover",2005,15,2.37857535406674,0.882219994207458,0.878335029793254
"175",7,0,1,1,"M",85,"p cover",2005,19,2.01623615993681,0.758247496691031,0.68476072155097
"176",7,0,1,1,"M",86,"p cover",2005,12,1.99470533396859,0.793626471471903,0.802728478407337
"177",7,0,1,1,"M",87,"p cover",2005,19,2.23411444602038,0.835693477282868,0.758757257945568
"178",7,1,1,1,"MF",88,"p cover",2005,11,1.66038028659956,0.723666932153965,0.692432361594291
"179",7,1,1,1,"MF",89,"p cover",2005,13,1.80683609388341,0.769204736728905,0.704433437887282
"180",7,1,1,1,"MF",90,"p cover",2005,15,2.28309445294656,0.876911302543988,0.843076857296555
"181",8,0,0,0,"C",43,"p cover",2005,19,2.38050722079458,0.871652969651593,0.808475651096187
"182",8,0,0,0,"C",44,"p cover",2005,21,2.70522504669804,0.915816786014613,0.888554806881602
"183",8,0,0,0,"C",45,"p cover",2005,20,2.25334638836606,0.84297804155181,0.752185503443803
"184",8,1,0,0,"F",46,"p cover",2005,10,1.60463492618104,0.692792590739805,0.696884093909658
"185",8,1,0,0,"F",47,"p cover",2005,17,2.28431226637544,0.859592613100302,0.806262003236604
"186",8,1,0,0,"F",48,"p cover",2005,11,2.03093932759588,0.826793115975627,0.846967484624862
"187",8,0,1,0,"M",91,"p cover",2005,23,2.63454282206453,0.902892137615598,0.840232078464807
"188",8,0,1,0,"M",92,"p cover",2005,23,2.35539577122206,0.857969849746017,0.751203991784139
"189",8,0,1,0,"M",93,"p cover",2005,23,2.21833814931357,0.820361437088496,0.707492343007305
"190",8,1,1,0,"MF",94,"p cover",2005,18,2.46999306530983,0.894260504049709,0.854558953727005
"191",8,1,1,0,"MF",95,"p cover",2005,19,2.17810661199377,0.809281928544281,0.739735694101693
"192",8,1,1,0,"MF",96,"p cover",2005,20,2.52781700922345,0.898334873148407,0.843806047535942
"193",1,0,0,1,"C",1,"p cover",2006,19,2.35853439686144,0.880113544414614,0.801013168739239
"194",1,0,0,1,"C",2,"p cover",2006,14,2.05376582110757,0.809923096570118,0.778219479380154
"195",1,0,0,1,"C",3,"p cover",2006,12,1.92614620599947,0.794390577229064,0.775138255661958
"196",1,1,0,1,"F",4,"p cover",2006,9,1.80895171163221,0.792565117715921,0.823289403500699
"197",1,1,0,1,"F",5,"p cover",2006,9,1.98459129465613,0.847916067963207,0.903226422609073
"198",1,1,0,1,"F",6,"p cover",2006,7,1.25805541152167,0.567285524414237,0.646512590590281
"199",1,0,1,1,"M",49,"p cover",2006,14,1.85924267052064,0.752695358618654,0.704510148247403
"200",1,0,1,1,"M",50,"p cover",2006,17,2.48300246305365,0.895308684549428,0.876390924906071
"201",1,0,1,1,"M",51,"p cover",2006,19,2.092573958237,0.798070513889889,0.71068681437895
"202",1,1,1,1,"MF",52,"p cover",2006,9,0.94320106850616,0.413029572224286,0.429269305575327
"203",1,1,1,1,"MF",53,"p cover",2006,15,2.2098156652276,0.845862809314561,0.816017245296329
"204",1,1,1,1,"MF",54,"p cover",2006,12,1.45788230235099,0.605777273872512,0.586694998170402
"205",2,0,0,0,"C",7,"p cover",2006,12,1.87038450957991,0.79801895214774,0.752698098232173
"206",2,0,0,0,"C",8,"p cover",2006,9,1.72069437288175,0.740607884225327,0.783121757616519
"207",2,0,0,0,"C",9,"p cover",2006,17,2.14621809856679,0.796708290792391,0.757520821038531
"208",2,1,0,0,"F",10,"p cover",2006,14,2.18035392773588,0.840361190833555,0.826186647507862
"209",2,1,0,0,"F",11,"p cover",2006,15,2.34584092116375,0.886507698761973,0.866247206277403
"210",2,1,0,0,"F",12,"p cover",2006,15,2.08085524794025,0.827955149902588,0.768396112853934
"211",2,0,1,0,"M",55,"p cover",2006,14,2.37282370718586,0.89589412158938,0.899117908716212
"212",2,0,1,0,"M",56,"p cover",2006,19,1.97113411947766,0.73882651676188,0.669443019001086
"213",2,0,1,0,"M",57,"p cover",2006,15,1.71723883090106,0.719364347291179,0.634123706496327
"214",2,1,1,0,"MF",58,"p cover",2006,12,1.60419548542413,0.67840172741894,0.645575754550375
"215",2,1,1,0,"MF",59,"p cover",2006,14,2.28332856728414,0.874491958812017,0.865206125558866
"216",2,1,1,0,"MF",60,"p cover",2006,16,1.89744640166184,0.778901475372395,0.684359128507537
"217",3,0,0,1,"C",13,"p cover",2006,11,2.04035552950496,0.841719821366651,0.850894345825139
"218",3,0,0,1,"C",14,"p cover",2006,17,2.28278650741574,0.848960569163815,0.805723477268236
"219",3,0,0,1,"C",15,"p cover",2006,12,2.07180319377145,0.853955986020226,0.833754939626487
"220",3,1,0,1,"F",16,"p cover",2006,16,2.30659821416032,0.870687529913926,0.831929451223108
"221",3,1,0,1,"F",17,"p cover",2006,11,1.809041418554,0.789354583182693,0.754428868965087
"222",3,1,0,1,"F",18,"p cover",2006,9,2.04236518802474,0.85875257926729,0.929520454618605
"223",3,0,1,1,"M",61,"p cover",2006,14,1.88164041608735,0.799615372292708,0.712997173260224
"224",3,0,1,1,"M",62,"p cover",2006,12,1.68436379912314,0.717203449923152,0.677837857316224
"225",3,0,1,1,"M",63,"p cover",2006,15,2.0432781857295,0.825194520431632,0.754520054649599
"226",3,1,1,1,"MF",64,"p cover",2006,14,2.04409588888559,0.827831946546632,0.774555317895878
"227",3,1,1,1,"MF",65,"p cover",2006,10,1.63422674541843,0.695406171727951,0.709735657713935
"228",3,1,1,1,"MF",66,"p cover",2006,11,1.92472084790062,0.805139436809607,0.802670938024098
"229",4,0,0,0,"C",19,"p cover",2006,16,2.24700612762692,0.858391545088536,0.810436149293618
"230",4,0,0,0,"C",20,"p cover",2006,13,2.06008752155653,0.838314030025918,0.803168887355868
"231",4,0,0,0,"C",21,"p cover",2006,12,2.09380826088185,0.841007495590829,0.84261043007812
"232",4,1,0,0,"F",22,"p cover",2006,12,1.59937218756303,0.677423849437734,0.643634716700314
"233",4,1,0,0,"F",23,"p cover",2006,16,2.32192379472338,0.862110075474444,0.837456985992377
"234",4,1,0,0,"F",24,"p cover",2006,17,2.32240887067569,0.864346616383471,0.819708433022828
"235",4,0,1,0,"M",67,"p cover",2006,19,2.35439967325623,0.865035406249824,0.799608920380054
"236",4,0,1,0,"M",68,"p cover",2006,23,2.48466734591324,0.890134847722838,0.7924324443944
"237",4,0,1,0,"M",69,"p cover",2006,20,2.23065964999348,0.833433930161975,0.744612484128007
"238",4,1,1,0,"MF",70,"p cover",2006,18,1.95152809844131,0.719515257805067,0.675182385487252
"239",4,1,1,0,"MF",71,"p cover",2006,14,2.03345398149331,0.814341691295364,0.770522852487545
"240",4,1,1,0,"MF",72,"p cover",2006,14,1.79576829047881,0.772928810880275,0.680458234206157
"241",5,0,0,1,"C",25,"p cover",2006,10,1.56156409506751,0.709999064359637,0.678178669626063
"242",5,0,0,1,"C",26,"p cover",2006,10,2.01883800787411,0.846178020643594,0.876770206676281
"243",5,0,0,1,"C",27,"p cover",2006,11,1.85408849512779,0.810182838922572,0.773214959035324
"244",5,1,0,1,"F",28,"p cover",2006,16,2.25334922741868,0.842997111667584,0.812723938946976
"245",5,1,0,1,"F",29,"p cover",2006,14,2.22776097992003,0.860655986108227,0.84415027855602
"246",5,1,0,1,"F",30,"p cover",2006,13,2.19315463862418,0.847493509732567,0.855047929989032
"247",5,0,1,1,"M",73,"p cover",2006,21,2.1894751195289,0.831492935351592,0.719152236291649
"248",5,0,1,1,"M",74,"p cover",2006,12,1.70423175070942,0.765511696422155,0.685833309212969
"249",5,0,1,1,"M",75,"p cover",2006,15,2.01076280923061,0.803292598623594,0.742513121954756
"250",5,1,1,1,"MF",76,"p cover",2006,13,1.70329939105375,0.752653608015534,0.664067454625873
"251",5,1,1,1,"MF",77,"p cover",2006,18,1.95519921849427,0.78436916670143,0.676452505859458
"252",5,1,1,1,"MF",78,"p cover",2006,12,2.00623817768311,0.811174848008713,0.807369636140769
"253",6,0,0,0,"C",31,"p cover",2006,16,2.36312515276788,0.889837203736358,0.852317234724549
"254",6,0,0,0,"C",32,"p cover",2006,13,2.01657066722872,0.820853884648289,0.786202917169666
"255",6,0,0,0,"C",33,"p cover",2006,16,2.1171651621499,0.833873323269231,0.763605920044134
"256",6,1,0,0,"F",34,"p cover",2006,17,2.40448526191124,0.887355445433943,0.848677797934135
"257",6,1,0,0,"F",35,"p cover",2006,15,2.13179070052097,0.831344160216741,0.787205015495393
"258",6,1,0,0,"F",36,"p cover",2006,15,2.23241069487837,0.857824151558879,0.824360897729943
"259",6,0,1,0,"M",79,"p cover",2006,15,1.97081006721359,0.802562363653693,0.727759797957751
"260",6,0,1,0,"M",80,"p cover",2006,16,1.95334846676597,0.79690384066722,0.70452153653283
"261",6,0,1,0,"M",81,"p cover",2006,25,2.2792603049265,0.843992611530209,0.708092026202913
"262",6,1,1,0,"MF",82,"p cover",2006,18,1.53938399551361,0.678351606182201,0.532590311716198
"263",6,1,1,0,"MF",83,"p cover",2006,21,2.33438478914268,0.859624826921904,0.766749083606111
"264",6,1,1,0,"MF",84,"p cover",2006,15,1.92719313621301,0.76821233312281,0.711653401191979
"265",7,0,0,1,"C",37,"p cover",2006,14,2.40623155227097,0.898200220017587,0.911776915669265
"266",7,0,0,1,"C",38,"p cover",2006,12,1.83440335911055,0.784767974648843,0.738218218083587
"267",7,0,0,1,"C",39,"p cover",2006,11,2.09537502839035,0.863725052735652,0.873839259020275
"268",7,1,0,1,"F",40,"p cover",2006,9,1.83755334935727,0.798847892375466,0.836306569802257
"269",7,1,0,1,"F",41,"p cover",2006,10,1.89556076071253,0.7918087126805,0.823231578489782
"270",7,1,0,1,"F",42,"p cover",2006,10,1.99417356792881,0.834850536243316,0.866058576508801
"271",7,0,1,1,"M",85,"p cover",2006,19,2.34689038430919,0.869657171623757,0.797058591098257
"272",7,0,1,1,"M",86,"p cover",2006,13,2.07922745217966,0.844425302044745,0.81063099594193
"273",7,0,1,1,"M",87,"p cover",2006,18,1.93584266108408,0.771112460502914,0.669755596592577
"274",7,1,1,1,"MF",88,"p cover",2006,9,1.23991755533215,0.613327787869266,0.564310798323289
"275",7,1,1,1,"MF",89,"p cover",2006,9,1.63204516555209,0.731719130578081,0.742775764656102
"276",7,1,1,1,"MF",90,"p cover",2006,15,1.86911153070754,0.790696172029677,0.690205643140141
